N: 16, NPixels: 8, NBlocks: 2, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.000388461, CT: 0.000252
N: 32, NPixels: 8, NBlocks: 4, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.000491051, CT: 5e-05
N: 64, NPixels: 8, NBlocks: 8, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.000840994, CT: 5.4e-05
N: 256, NPixels: 8, NBlocks: 32, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00270985, CT: 0.00029
N: 512, NPixels: 8, NBlocks: 64, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00578174, CT: 0.001073
N: 1024, NPixels: 8, NBlocks: 128, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.0110664, CT: 0.002822
N: 16, NPixels: 8, NBlocks: 2, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.000455246, CT: 3.8e-05
N: 32, NPixels: 8, NBlocks: 4, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.000675659, CT: 0.000259
N: 64, NPixels: 8, NBlocks: 8, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.000829881, CT: 5.4e-05
N: 256, NPixels: 8, NBlocks: 32, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.002924, CT: 0.000291
N: 512, NPixels: 8, NBlocks: 64, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.00582066, CT: 0.001072
N: 1024, NPixels: 8, NBlocks: 128, Radius: 1, Threads: 512, Blocks: 1024, GPGPU ST: 0.0110016, CT: 0.002815
N: 16, NPixels: 8, NBlocks: 2, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.000469054, CT: 3.8e-05
N: 32, NPixels: 8, NBlocks: 4, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.0008256, CT: 8.2e-05
N: 64, NPixels: 8, NBlocks: 8, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.000796222, CT: 5.6e-05
N: 256, NPixels: 8, NBlocks: 32, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.00286472, CT: 0.00029
N: 512, NPixels: 8, NBlocks: 64, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.00549354, CT: 0.001092
N: 1024, NPixels: 8, NBlocks: 128, Radius: 1, Threads: 1024, Blocks: 1024, GPGPU ST: 0.0105717, CT: 0.003016
N: 16, NPixels: 4, NBlocks: 4, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00047325, CT: 3.9e-05
N: 32, NPixels: 4, NBlocks: 8, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00089438, CT: 8.6e-05
N: 64, NPixels: 4, NBlocks: 16, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.000906604, CT: 5.6e-05
N: 256, NPixels: 4, NBlocks: 64, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00300341, CT: 0.000309
N: 512, NPixels: 4, NBlocks: 128, Radius: 1, Threads: 256, Blocks: 1024, GPGPU ST: 0.00623933, CT: 0.001099
