N: 16, threads: 1, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 3.7444e-05
N: 32, threads: 1, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 7.1997e-05
N: 64, threads: 1, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.000257303
N: 128, threads: 1, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.00100456
N: 256, threads: 1, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.00402011
N: 512, threads: 1, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.0165488
N: 1024, threads: 1, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.0655025
N: 16, threads: 1, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 2.4587e-05
N: 32, threads: 1, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 9.8253e-05
N: 64, threads: 1, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000548628
N: 128, threads: 1, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.00221264
N: 256, threads: 1, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00900265
N: 512, threads: 1, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.0371364
N: 1024, threads: 1, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.15398
N: 16, threads: 1, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 2.9933e-05
N: 32, threads: 1, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 8.5104e-05
N: 64, threads: 1, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000311408
N: 128, threads: 1, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.0012219
N: 256, threads: 1, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.00465061
N: 512, threads: 1, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.0184209
N: 1024, threads: 1, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0743861
N: 16, threads: 1, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 4.1596e-05
N: 32, threads: 1, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000160323
N: 64, threads: 1, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000626924
