N: 16, threads: 1, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 2.6335e-05
N: 32, threads: 1, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 6.683e-05
N: 64, threads: 1, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.000274103
N: 128, threads: 1, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000970131
N: 256, threads: 1, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.00397121
N: 512, threads: 1, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.0161805
N: 1024, threads: 1, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.0660349
N: 16, threads: 1, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 2.4697e-05
N: 32, threads: 1, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000101472
N: 64, threads: 1, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000533791
N: 128, threads: 1, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.00228418
N: 256, threads: 1, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00907003
N: 512, threads: 1, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.0372656
N: 1024, threads: 1, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.159359
N: 16, threads: 1, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 3.0148e-05
N: 32, threads: 1, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 8.5834e-05
N: 64, threads: 1, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000287816
N: 128, threads: 1, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.00128462
N: 256, threads: 1, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.00509193
N: 512, threads: 1, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.018634
N: 1024, threads: 1, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0749244
N: 16, threads: 1, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 4.0543e-05
N: 32, threads: 1, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000159085
N: 64, threads: 1, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.00064479
N: 128, threads: 1, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.00264918
N: 256, threads: 1, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.0109025
N: 512, threads: 1, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.0437234
N: 1024, threads: 1, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.176115
N: 16, threads: 2, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 0.000151653
N: 32, threads: 2, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 0.000175211
N: 64, threads: 2, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.000260893
N: 128, threads: 2, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000624283
N: 256, threads: 2, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.00220768
N: 512, threads: 2, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.00839459
N: 1024, threads: 2, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.0332601
N: 16, threads: 2, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000147417
N: 32, threads: 2, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000189853
N: 64, threads: 2, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000348449
N: 128, threads: 2, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.00119253
N: 256, threads: 2, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00474779
N: 512, threads: 2, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.0188005
N: 1024, threads: 2, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0805265
N: 16, threads: 2, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000152412
N: 32, threads: 2, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000172912
N: 64, threads: 2, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000308665
N: 128, threads: 2, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.000724744
N: 256, threads: 2, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.00248489
N: 512, threads: 2, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.0101899
N: 1024, threads: 2, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0381495
N: 16, threads: 2, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000164348
N: 32, threads: 2, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000213536
N: 64, threads: 2, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000486278
N: 128, threads: 2, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.00145321
N: 256, threads: 2, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.00552556
N: 512, threads: 2, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.0221152
N: 1024, threads: 2, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.088767
N: 16, threads: 4, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 0.000150805
N: 32, threads: 4, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 0.000157396
N: 64, threads: 4, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.000231417
N: 128, threads: 4, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000394983
N: 256, threads: 4, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.00118605
N: 512, threads: 4, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.00439459
N: 1024, threads: 4, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.0169184
N: 16, threads: 4, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000158422
N: 32, threads: 4, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000175148
N: 64, threads: 4, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000293987
N: 128, threads: 4, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.000713828
N: 256, threads: 4, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00255065
N: 512, threads: 4, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.00967659
N: 1024, threads: 4, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0410523
N: 16, threads: 4, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000155556
N: 32, threads: 4, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000189268
N: 64, threads: 4, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000226459
N: 128, threads: 4, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.000496661
N: 256, threads: 4, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.00148149
N: 512, threads: 4, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.00515591
N: 1024, threads: 4, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0193139
N: 16, threads: 4, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000176122
N: 32, threads: 4, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000207433
N: 64, threads: 4, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000311849
N: 128, threads: 4, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.00088559
N: 256, threads: 4, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.00306122
N: 512, threads: 4, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.011594
N: 1024, threads: 4, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.0451888
N: 16, threads: 8, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 0.00022733
N: 32, threads: 8, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 0.000257315
N: 64, threads: 8, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.000324202
N: 128, threads: 8, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000444451
N: 256, threads: 8, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.000818771
N: 512, threads: 8, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.00257771
N: 1024, threads: 8, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.00965733
N: 16, threads: 8, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000244472
N: 32, threads: 8, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000289394
N: 64, threads: 8, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000408498
N: 128, threads: 8, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.00059002
