N: 16, NPixels: 8, NBlocks: 2, Radius: 1, Serial ST: 1.004e-05 s
N: 32, NPixels: 8, NBlocks: 4, Radius: 1, Serial ST: 5.3781e-05 s
N: 64, NPixels: 8, NBlocks: 8, Radius: 1, Serial ST: 0.000236474 s
N: 128, NPixels: 8, NBlocks: 16, Radius: 1, Serial ST: 0.000968823 s
N: 256, NPixels: 8, NBlocks: 32, Radius: 1, Serial ST: 0.00394155 s
N: 512, NPixels: 8, NBlocks: 64, Radius: 1, Serial ST: 0.0161392 s
N: 1024, NPixels: 8, NBlocks: 128, Radius: 1, Serial ST: 0.0654297 s
N: 16, NPixels: 8, NBlocks: 2, Radius: 2, Serial ST: 1.042e-05 s
N: 32, NPixels: 8, NBlocks: 4, Radius: 2, Serial ST: 8.6246e-05 s
N: 64, NPixels: 8, NBlocks: 8, Radius: 2, Serial ST: 0.000466854 s
N: 128, NPixels: 8, NBlocks: 16, Radius: 2, Serial ST: 0.00211051 s
N: 256, NPixels: 8, NBlocks: 32, Radius: 2, Serial ST: 0.00907482 s
N: 512, NPixels: 8, NBlocks: 64, Radius: 2, Serial ST: 0.0372403 s
N: 1024, NPixels: 8, NBlocks: 128, Radius: 2, Serial ST: 0.153569 s
N: 16, NPixels: 4, NBlocks: 4, Radius: 1, Serial ST: 1.741e-05 s
N: 32, NPixels: 4, NBlocks: 8, Radius: 1, Serial ST: 6.6241e-05 s
N: 64, NPixels: 4, NBlocks: 16, Radius: 1, Serial ST: 0.00031141 s
N: 128, NPixels: 4, NBlocks: 32, Radius: 1, Serial ST: 0.00121722 s
N: 256, NPixels: 4, NBlocks: 64, Radius: 1, Serial ST: 0.00458761 s
N: 512, NPixels: 4, NBlocks: 128, Radius: 1, Serial ST: 0.018724 s
N: 1024, NPixels: 4, NBlocks: 256, Radius: 1, Serial ST: 0.0749975 s
N: 16, NPixels: 4, NBlocks: 4, Radius: 2, Serial ST: 2.8289e-05 s
N: 32, NPixels: 4, NBlocks: 8, Radius: 2, Serial ST: 0.000131806 s
N: 64, NPixels: 4, NBlocks: 16, Radius: 2, Serial ST: 0.000679782 s
N: 128, NPixels: 4, NBlocks: 32, Radius: 2, Serial ST: 0.00281628 s
N: 256, NPixels: 4, NBlocks: 64, Radius: 2, Serial ST: 0.0107004 s
N: 512, NPixels: 4, NBlocks: 128, Radius: 2, Serial ST: 0.0440366 s
N: 1024, NPixels: 4, NBlocks: 256, Radius: 2, Serial ST: 0.175544 s
